Comment,Gold Standard,Prediction
Gimmicky labeling used by politicians to make me feel like it's worth voting for them.,Neither,Neither
"Walkable cities, better public transportation, free-Wi-Fi, affordable housing, solutions for our increasing unhoused population ",Both,Both
clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective,Technology,Technology
A unnecessary but flashy dept funneling important funds from key city functions,Neither,Neither
Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.,Technology,Technology
"Spending money for things not in the city charter, quit for dung and lower taxes",Neither,Neither
Equal to other cites our size and population,Neither,Neither
Technology advanced usage in the community and available to all.,Technology,Technology
"Clean air, smoke free, shade tree __, more park ",Neither,Neither
"Cities that provide easy access to technology to everyone, regardless of income.",Technology,Technology
they dont have ugly utility lines everywhere - is a smart city,Technology,Technology
Cities that use technology to improve services and hence quality of life for all citizens.,Technology,Technology
Much better public transportation. Easily accessible wifi/internet for all. Stable energy grid and energy delivery. Lots of green spaces for recreational and for wildlife.,Technology,Technology
Updated and modern,Neither,Neither
Crowd sourcing as a solution to problems.,Neither,Neither
"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity ",Neither,Neither
"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable.",Technology,Technology
"Electric grid is reliable, cleaner energy (nuclear), traffic managed ",Technology,Technology
Cities that are using technology to help their citizens.,Technology,Technology
Internet access and availability to services thru computer,Technology,Technology
"Inclusive, progressive, accessible, sanitary, sustainable, resilient",Neither,Neither
"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device",Technology,Technology
"timed street signals, electric chargers for vehicles, clean, efficient public transit",Technology,Technology
Cities that have more tech savvy populations perhaps due to language and/or age of its residents.,Technology,Technology
"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way",Neither,Neither
Technology to improve city services,Technology,Technology
"Environmentally smart, technology driven, and innovative transportation.",Technology,Technology
Trains.,Neither,Neither
"Efficient, sustainable living",Neither,Neither
Easy interface between citizens and its government and our local government and State and Federal government entities.,Technology,Technology
A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching.,Public Safety,Public Safety
City's with high speed internet access and options. Lots of places to get online and charge mobile devices.,Technology,Technology
Connected services & connected communications,Technology,Technology
More eco-friendly and cost effective programs,Neither,Neither
A technologically modern city,Technology,Technology
Computer aided government. AI,Technology,Technology
Opportunity for integration and sustainable development but also security risks,Technology,Technology
More efficient cities. Cities with rapid public transit; where it's easy to navigate via smart phone.,Technology,Technology
"A city that optimizes resources and use modern technologies to improve its residents lives. A city with limited suburban sprawl (San Antonio has a huge problem with that and apparently no one is doing anything about it), mixed used areas with medium/high density living buildings with condos at higher floors and retail space at street level (not just at the Pearl or Downtown, but everywhere), effective frequent and reliable public transportation including busses and light railway system, frequent train connections with other cities (it's ridiculous to have only one train per day to Austin that takes 3 hours to arrive there).",Technology,Technology
Walkability/ public transport; environmental sustainability; connectedness esp public health info and resources,Neither,Neither
"City-wide WiFi, rail/tram systems.",Technology,Technology
Cities that have moved past car-dependent policies of the 1940s and 50s. San Francisco has an excellent public transit system and discourages cars in urban areas. It is great for residents and tourists alike to get around. There are fantastic city planning YouTube channels that give more info about public transit and city planning as it relates to car dependency,Neither,Neither
Better safety and cheaper ways to transport,Public Safety,Public Safety
Public Transit!!,Neither,Neither
"Doing the most for the city and it's people using the best, affordable resources available at the time knowing that innovation does not stop.",Neither,Neither
Public transportation and walkable communities,Neither,Neither
"Heavy reliance on public transportation (buses, train), solar panels on every skyscraper, biodiverse parks and landscapes, water collection, rip out concrete drainage ditches and replace with living green ways to promote filtration, educate people about the importance of farming/native gardens",Public Safety,Public Safety
Test,Neither,Neither
Cleaner and better developed,Neither,Neither
Safety,Public Safety,Public Safety
Very innovative and energy savvy.,Neither,Neither
Easy to use technology,Technology,Technology
Pretty cities with great technology,Technology,Technology
Community,Neither,Neither
Well a lot of technology that's for sure but I also see a lot of distractions due to technology,Technology,Technology
More computer based services.,Technology,Technology
"Accessible Information to all, where to go for help fast",Technology,Technology
I would see it as a city that is hands on with more technology,Technology,Technology
The city innovating ways for the public to utilize those innovations that doesn't cause problems and/or peace of mind to trust the city.,Public Safety,Public Safety
Less traffic and pollution,Neither,Neither
"Using data generated by the community to inform organizational, process, or technological innovation.",Technology,Technology
A city that helps the people in business,Neither,Neither
A city of vary smart people,Neither,Neither
 Tech enthusiast,Technology,Technology
Technology,Technology,Technology
Innovative technologies to reduce pollution and reduce time in public buildings,Both,Both
"A team that helps our communities grow with better technology and services that expand the cities outreach. I also see smart cities as a team that looks to help serve the communities issues and how to combat those problems to make it better for people and people who are majorly affected. Also making the city more efficient, increasing awareness for technology, public transportation and bringing the community together.",Both,Both
Safe and accessible,Public Safety,Public Safety
New technology better improvement,Technology,Technology
Centris de estudio gratuito (Free Study Centris),Neither,Neither
A city that is up to date with smart tech,Technology,Technology
All around help with least struggle,Neither,Neither
Easy to commute,Neither,Neither
More tech being used by public,Technology,Technology
"Energy conservation, efficiency and fast paced environment.",Neither,Neither
Technologically advanced,Technology,Technology
connected.,Neither,Neither
Easy access to technology.,Technology,Technology
Responding to needs of citizens,Neither,Neither
Technology,Technology,Technology
Technology higher,Technology,Technology
Future of SATX,Neither,Neither
Forward thinking,Neither,Neither
Flying vehicles,Technology,Technology
"Smart is keeping the community safe. Analysimh the changes. People work from ho,Ed now. Neighbors blasting music at all hours isn't acceptable. Residential streets over crowded with cars. Each home should be limited to the amount of vehicles. Causes accidents and too dangerous for kids to play outside.",Public Safety,Public Safety
Computers,Technology,Neither
"Ability to access services by way of apps, making it self serving",Technology,Technology
Environmentally innovative city,Neither,Neither
Using technology to improve access,Technology,Technology
Everything that is used through technology,Technology,Technology
Everything on chargers,Technology,Technology
"Traffic, cleaness, environment air quality,",Public Safety,Public Safety
Technologies y ciudada moderno (Modern technologies and cities),Technology,Technology
We still have a long way,Neither,Neither
Tesla,Technology,Neither
A city that uses the most up-to-date technology,Technology,Technology
better technology and faster processes,Technology,Technology
Technology that helps you connect and access community services to improve your quality and safety of life,Both,Both
" SINGAPORE and FINLAND: Computerized environmentally-friendly city with lots of greenspace and futuristic public transportation and high-speed commuter rail, plug and play innovation spaces and innovation parks, healthcare booths around the city and in parks, experiments in desalination and sourcing water from Gulf, rain capture systems across city and new ponds and lakes with fish for fishing, forage-ready public gardens and fruit trees in all green spaces, green rooftops for existing buildings, new green buildings with green vines and trees climbing exteriors, biodomes, sidewalks, collaboration and support services for small businesses and innovators (including patenting, funding, and mentoring), new experiential learning education methods tested and used at all levels, public labs in parks, high-tech teaching and learning centers, dashboards for city services and natural resources, totally digitized public services, experiments in alternative and affordable housing (even using pods), free and safe wifi in parks and across all public spaces, experiments always active in innovation in all city services, collaborations between universities and city for innovation experiments, digital interactions between citizens and city officials and staff, use of holograms, electric vehicle infrastructure, future forward and green international direct flight airports and ports, more independent and small shops, cafes and restaurants, digitized and better timed street signals (not spy cameras for police), including and diversity considered in every decision, delivery pods and drones for groceries, packages, and mail, more public gathering and sharing spaces and platforms that match citizen's skills and needs, future job training for citizens, more biking areas, public art integrated in all public spaces, one central app for city services, thinkers groups, turning garbage dumps into hiking hills and trails, bio-packaging requirements, innovations in waste management.",Both,Both
A city were technology is integrated to make human life easier and more automated,Technology,Technology
Cities that are high tech,Technology,Technology
A technology based city like San Francisco,Technology,Technology
Environmentally safe and Smart with tech,Both,Both
Technology based cities,Technology,Technology
"Stupid ideas from the city of San Antonio, allow the residents to speak",Neither,Neither
No idea,Neither,Neither
Idk,Neither,Neither
Better communication,Neither,Neither
"Invasion of my privacy ,a lot of efficiency but risk are to much .",Neither,Neither
Using tech features more than in the past.,Technology,Technology
Doing things to improve city services,Neither,Neither
Interconnection between public and private entities,Neither,Neither
Downtowns and parks that have access to free internet.,Technology,Technology
Interactive and energy efficient,Neither,Neither
Anything about City and it's services can be accessed on line.,Technology,Technology
Growth,Neither,Neither
Safety plans to improve our neighborhood and better pay for our first responders and policeman,Public Safety,Public Safety
Being able to address possible problems before they become a problem,Neither,Neither
Wise use of resources on behalf of citizens,Neither,Neither
Improvement in Technology,Technology,Technology
Easy access to the internet,Technology,Technology
High tech,Technology,Technology
A lot of wasted funds as it applies mostly to those above the average income level,Neither,Neither
access to public transportation. access to the internet,Technology,Technology
Cities using technology,Technology,Technology
Wide use of the internet to disseminate info,Technology,Technology
dumb people,Neither,Neither
internet speed that is rated #1 in the USA,Technology,Technology
economic redevelopment. Lots of small business with mom and pop operations,Neither,Neither
 All services available online. Traffic management managed real time with all traffic flow devices linked and learning from machine learning algorithms and delivering optimization real-time.,Technology,Technology
Walkable/bikeable accessibility to grocery stores/coffee shops/retail/ schools/parks,Neither,Neither
A city that is connected and accessed virtually,Technology,Technology
"Police and the District Representatives connecting with neighborhoods to help stop crime, by using lighting and cameras.",Both,Both
Flying cars and ease of mobility.,Technology,Technology
"Cities that run more efficiently utilizing technology, community members, making access to communication networks more inclusive, and overall improvement of neighborhoods based on changes. Ex: new hospitals or emergency care services in every area for autistic residents ",Both,Both
Accessible technology. Transportation such as electric trains to commute within the city. Better road system.,Technology,Technology
"Connected to technology in ways that help them in daily life, availability of internet access to help with information about things like traffic, weather, other services.",Both,Both
No entiendo la pregunta (I don't understand the question),Neither,Neither
Internet,Technology,Technology
A city that has internet for all and uses apps for communicating with citizens.,Technology,Technology
"Interconnected departments, services and technology that more seamlessly provides services to residents in an effective and efficient manner. ",Technology,Technology
Free widespread internet access; timed traffic signals; apps for public services and government access; free fast public transit that is reliable enough to use daily,Both,Both
"Cities that use tech effectively and efficiently, with focus on advancing sustainability while connecting the public voice and providing equal access to tech throughout the community.",Technology,Technology
"Smart cities invest in high quality infrastructure, such as streets & drainage, public safety, and parks, that improves the daily lives of the community which allows the community to be safe, healthy and productive.",Public Safety,Public Safety
"connectiviity and electricity, solar power",Technology,Technology
less cars! more alterative energy everywhere; wifi in all activation areas; outdoor classrooms in public areas,Technology,Technology
"Room for all needed things in new growth, including schools, libraries, parks, and safe streets and walkways with public transportation options",Public Safety,Public Safety
"What comes to mind is control, cameras everywhere but at the same time opportunity to learn about new technology and how data is used.",Technology,Technology
Innovation/risks,Neither,Neither
Innovation,Neither,Neither
Sustainable and all parts work together,Neither,Neither
Working smarter not harder. See above.,Neither,Neither
Technology better services environment,Technology,Technology
Innovation,Neither,Neither
Smart turning lanes. Lines light up to help keep cars in the appropriate lanes when turning.,Both,Both
Cities that are not just knowledgeable on technology but are willing to learn more.,Technology,Technology
"Infrastructure, connectedness, informed",Neither,Neither
Readily available access to technology.,Technology,Technology
"Connected and inclusive communities and systems that improve quality of life and increase efficiency, affordability, and sustainability.",Neither,Neither
"Rails, renewable energy sources, modern approaches and services",Technology,Technology
Building a better form of technology and innovation,Technology,Technology
"A city that encourages small businesses, such as providing incentives for in demand markets ",Neither,Neither
Everything accessible and electronic Easy to use,Technology,Technology
Online portal,Technology,Technology
More use of sustainable development,Neither,Neither
City's that use technology in an advanced way to help the citizens,Technology,Technology
Utilization of clean energy and ecological homes and buildings and environment and animal rights protection.,Technology,Technology
"More green spaces, prioritizing solar power, and building other transportation options, such as light rail. I also think that the COSA has a lot to offer our youth when it comes to their available sports, cultural, and arts programs, however we need to promote this more so that more community members know about this and can participate. ",Technology,Technology
"High speed trains, clean air",Technology,Technology
Environmental friendly and innovative,Neither,Neither
Towns,Neither,Neither
Technology. A.I.,Technology,Technology
City with more technology,Technology,Technology
Solar power,Technology,Technology
Connect and smart,Neither,Neither
Es muy avansada la tecnologia hoy en dia pero una ciudad inteligente seria muy dificil entender (Technology is very advanced today but a smart city would be very difficult to understand),Technology,Technology
What comes to mind are more opportunities to develop technologies of the future here in San Antonio. I also think about more engineering and Computer Science programs for high schoolers and even middle schoolers.,Technology,Technology
Cities with esports.,Technology,Neither
Everything going digital,Technology,Technology
"Public transport so good you don't need a car, and plenty of green spaces. A city build for people NOT vehicles ",Neither,Neither
Technologically advanced and secure,Technology,Technology
 A picture of a gadget plugged into a socket and a cell phone that turns on the lights (and turns off the lights when I am not there),Technology,Technology
Smart cities include cities where all residents have access to Internet in their home. Also infrastructures are efficient and technologically advanced.,Technology,Technology
Cities designed for the people not the cars. But with great ports of entry (air/water/ground).,Neither,Neither
Data-driven decision making on use of public funds.,Technology,Technology
 High tech forms of transportation and ample high-tech interfaces and screens to facilitate daily activities and behaviors,Technology,Technology
"Cities that provide efficient, responsive, resilient, and proactive services to their residents.",Neither,Neither
 Information access,Technology,Technology
" Public transit that everyone wants to use and is convenient to all. Green infrastructure that makes our city more sustainable, resilient and climate ready. ",Neither,Neither
"Accessibility to services and public spaces, accommodation and help for the ones who need it most. ",Neither,Neither
City designed to be successful/thrive in 20 yrs,Neither,Neither
"Efficient public transportation that connects the entire city, while cutting back on carbon emissions. ",Technology,Technology
"Free wifi, charging stations, apps that stream real time data on traffic,events,etc.",Technology,Technology
"Good design, better connected, full of opportunity ",Neither,Neither
 I'm not familiar with this term,Neither,Neither
"free, fast, and safe city-wide wifi; technology-enabled public transportation, reliable and sustainable power grid",Both,Both
A city that understands the important of development that's sustainable and equitable. We can be a leader on equity and climate!,Neither,Neither
I think of a tech industry run city instead of local government run city. I think of the tech as detached from the local person's goals or experiences.,Technology,Technology
Cohesive working relationships focused on small business development across all industries.,Neither,Neither
Connected infrastructure and ways for residents to plug into initiatives and self-organize around shared priorities in a transparent way. Efficiencies and economies of scale through tech investments and innovation. Tap into communal brainpower and lower bar to participation. Some of the best ideas may come from people who aren't tech savvy.,Technology,Technology
Advanced technology,Technology,Technology
WALKABLE CITIES WITH PUBLIC TRANSIT AND A HEALTHY ENVIRONMENT,Public Safety,Neither
Integrated and useful to everyday activities,Neither,Neither
Wi-Fi available everywhere. This is custom in Europe city centers and high traffic areas.,Technology,Technology
"Technologically savvy is what society will think, as a Clinical Nutritionist I wish it was that the citizens were educated on their health, Hosea 4:6",Both,Both
Great infrastructure,Neither,Neither
"Wi-Fi access, smart lighting, safety",Both,Both
"A smart city would be a city that de-emphasizes the use of cars for transit and focuses on green solutions like light rail. One that prepares for the increasing heat with more tree cover, walkability, and bike infrastructure. ",Technology,Technology
 Emerging technology,Technology,Technology
Big Brother,Neither,Neither
"Sustainability, up-to-date technology, up-to-date transportation. ",Technology,Technology
Free Wi-Fi in certain areas.,Technology,Technology
Cities that use technology and collect data on making improvements/how things are going in the city.,Technology,Technology
 A technological city that uses technology for the good of the city and citizens.,Technology,Technology
 Environmentally efficient city's with a low to zero carbon footprint.,Neither,Neither
"Mitigation of traffic via intelligent traffic solutions, and intelligent grids to mitigate power consumption. ",Both,Both
"high speed network communications, fast transit, improved traffic management",Both,Both
Efficient and affordable management of a city and all of its resources and population,Neither,Neither
"An expansive city with commuter trains to take people to and from various places in the city, decongesting the city highways as well as more walker friendly areas.",Neither,Neither
"Honestly, the term conjures mental images of wifi everywhere, surveillance cameras everywhere, person/phone tracking. A lot of scary technocratic 'improvements' that fail to improve things but do mean everyone is giving up privacy.",Technology,Technology
"Solar and electric cars, lights timed by the volume of traffic ",Both,Both
"Cities that have a lot of hidden technology: smart intersections and useful utilities available, while also maintaining a level of greenery that keeps the city from looking like an urban wasteland",Both,Both
A new buzzword for increased tax spending.,Neither,Neither
Transit,Neither,Neither
"Public transportation, well-funded bus and train infrastructure, good internet and wi-fi connectivity.""",Technology,Technology
Taking advantages of existing technology. Creating new technology where needed.,Technology,Technology
 Internet based access,Technology,Technology
Computer and high tech savvy.,Technology,Technology
A city where internet access ability isn't an issue,Technology,Technology
"Strong Towns. Walkable multi-use development. Efficient public transportation. A well developed society is not one where the poor drive cars, but where the rich take public transportation.",Neither,Neither
Sensors everywhere feeding data back to the city to improve things like traffic and public safety,Both,Both
City service information available mainly online.,Technology,Technology
Protected Bike Lanes and sustainable forms of transit. A turn away from cars and single family zoning. A smart city should have mostly mixed used urban development.,Public Safety,Public Safety
"Efficiency - How do we do more while consuming less. Public transportation is key, intelligent zoning, access to parks from the places where people live, less of a focus on ever expanding highways!",Neither,Neither
not sure,Neither,Neither
"Street lights, traffic signals, etc. linked to servers where issues can be seen, diagnosed, and corrected remotely and quickly. CCTV access for city services (police, fire, sanitation) to see problems perhaps before they're even reported for swift action. Water sensors to automatically alert SAWS of leaks/main breaks for quick shut-off and repair, to minimize water loss/waste. """,Both,Both
A city driven by technology to help enhance the lives of citizens.,Technology,Technology
Big brother and that is unacceptable.,Neither,Neither
 Using technology to improve a communities' way of life.,Technology,Technology
 Livability,Neither,Neither
Cities that are up to date in technology,Technology,Technology
Connected with resources to enable citizens to leverage. This could including mapping utilities that tie traditional public transit with last mile transit.,Technology,Technology
 I've seen Smart/Safe City develop elsewhere in the world as provided by 'state-owned' companies with alleged links to foreign intelligence agencies. Transparency and oversight by democratically elected officials and perhaps human/privacy rights NFPs will be essential for this concept to be successful in the United States.,Neither,Neither
Healthy cities,Neither,Neither
 When I think of smart cities I think of places like New York City who have public transportation all throughout the state of NY.,Neither,Neither
"I have an electro magnetic frequency sensitivity so I think of being electrocuted and having headaches from too much wireless. I hope you use wirED whenever possible to protect people like me. Also as a former military web mgr, I worry about hackers taking advantage of weak passwords.",Both,Both
Technology that makes day to day easier,Technology,Technology
Seamless transportation options,Neither,Neither
"Street side cafe's, lunch spots, live, work, play. ",Neither,Neither
Waste of money.,Neither,Neither
nothing,Neither,Neither
Using the data to make our city better equipped,Technology,Technology
Transportation- wifi everywhere,Technology,Technology
"All the public services online, free access to wifi. ",Technology,Technology
probably more charging stations for cars and community open wi-fi,Technology,Technology
"A place where people are able to access internet with little/no cost, better/more affordable public transportation. Monitor and control traffic so that there is less gridlock. ",Technology,Technology
"Electric cars/public transportation, with the internet integrated throughout the city providing advanced forecasting and analytics.",Technology,Technology
"Interconnection between public transportation, information on traffic and available city services, and use of technology to promote a healthy ecology/environment.",Technology,Technology
"Moving toward the future with technology, making strides to making our city green and caring about the environment. However, when we make these improvements, we have to keep the learning level of all ages and abilities in mind. ",Technology,Technology
"It makes me think of """"smart home"""" but I don't think that's the intention",Technology,Technology
"Fiber internet, monorail-style city transportation, lessening our carbon footprint.",Technology,Technology
"Improved Education and education facilities for Children Improved infrastructure
Better traffic Improved safety and security of public",Public Safety,Public Safety
Easy to use free access to the Internet,Technology,Technology
,Neither,Neither
"Data collection of cars, pedestrians, bicycles, and other form of transport for better decision making.",Technology,Technology
"A city that makes decisions that positively impact the citizens, services and environment.",Neither,Neither
Projects work in concerts (i.e. it is sad to see a new road tore up because the utilities underneath it weren't done in concert).,Neither,Neither
Data and technology,Technology,Technology
"Rail system, shaded lush parks and rivers, no litter, no dependence on coal or gas ",Neither,Neither
A public relations firm,Neither,Neither
"cities whose citizens have easy access to relevant, up to date technology and internet services ",Technology,Technology
The color orange tubing and blocked traffic lanes while the city allows Google to dig up the streets to convert parts of the city to high speed internet.,Technology,Technology
Light rail,Neither,Neither
One who has planned for growth and all the challenges and needs of that. Need infrastructure to support it,Neither,Neither
"Free wifi everywhere, easy connection to all city services and allowing any service that can be done in person to be done online",Technology,Technology
Accessible public transportation.,Neither,Neither
"Public transit, light rail, side walks, bike lanes, and green ways. Not freeways full of uninsured oversized trucks and free range mattresses. ",Public Safety,Public Safety
"Making dense urban areas more walkable and having convenient, affordable mass transit options and take away dependence on cats for transportation.",Neither,Neither
"Streamline, affordable and simple public transport which keeps traffic low for those that must drive and offsets some pollution. Safe and clean walkways and parks for locals and visitors.",Public Safety,Public Safety
free of crime,Public Safety,Public Safety
"A city that isn't completely car-dependent and has reliable and convenient public transportation options. Until this city doesn't make me feel forced to operate a vehicle just to exist here, there can be nothing smart about it.",Neither,Neither
"Energy-efficient public services, universally available gigabit fiber internet service, road networks that are designed with the latest techniques (no stroads) to preserve neighborhoods while increasing throughput of major routes.",Technology,Technology
Cities that better utilise space.,Neither,Neither
"A city that incorporates many sectors and the public voice in the information it gathers to make decisions. Decisions are made with an eye on the future as well as current needs to create a healthy and safe city for all, not just the priveleged.",Public Safety,Public Safety
"Easy access to all major areas of the city via reliable and fast public transit - that is, a more environmentally friendly and walkable city.",Neither,Neither
Cuties with good and accesible public discourse,Neither,Neither
Cities that are smart about their use of technology.,Technology,Technology
"Expansive rail networks, with Wi-Fi access and amenities. ",Technology,Technology
Public rail systems.,Neither,Neither
Variety of public transportation options and strong environmental considerations.,Neither,Neither
"Using technology to address issues with housing, public transit, and public health",Technology,Technology
Easy to traverse cities with green technology,Technology,Technology
"Walkable areas, with multiple modes of transportation available including rail.",Neither,Neither
Cities that are working towards the greater good while intertwining technology and smart infrastructure.,Technology,Technology
"Walkable cities with fiber internet, job growth, public transportation, that utilize clean energy such as solar for public buildings, traffic lights etc, use water conservation efforts, and offer a robust recycling program",Both,Both
A city where technology is used to integrate systems & services to make it easier and faster for citizens to access what they need,Technology,Technology
 Clean cities,Neither,Neither
"Electric vehicle charging stations, fast commuter rails, environmental conservation policies",Technology,Technology
Public railway system to move around the city conveninietly,Neither,Neither
